MI001	mir	control flow	confirmed	0	Does a conditional produce a switchInt terminator?	rustc +nightly-2026-09-13 -Zunpretty=mir --crate-type=lib branch.rs	switchInt	rustc +nightly-2026-09-13 -Zunpretty=mir --crate-type=lib straight.rs	0
MI002	mir	basic blocks	confirmed	0	Is a function body presented as a graph of basic blocks?	rustc +nightly-2026-09-13 -Zunpretty=mir --crate-type=lib branch.rs	bb0: {	rustc +nightly-2026-09-13 -Zunpretty=normal --crate-type=lib branch.rs	0
MI003	mir	drops	confirmed	0	Does an owned value produce an explicit drop terminator?	rustc +nightly-2026-09-13 -Zunpretty=mir --crate-type=lib dropped.rs	drop(	rustc +nightly-2026-09-13 -Zunpretty=mir --crate-type=lib copyonly.rs	0
MI004	mir	views	confirmed	0	Does the typed pre-MIR view exist and carry types?	rustc +nightly-2026-09-13 -Zunpretty=thir-flat --crate-type=lib branch.rs	Thir {	rustc +nightly-2026-09-13 -Zunpretty=hir-tree --crate-type=lib branch.rs	0
MI005	mir	views	confirmed	0	Is there a semi-stable API surface for MIR?	rustc +nightly-2026-09-13 -Zunpretty=stable-mir --crate-type=lib branch.rs	rustc_public	rustc +nightly-2026-09-13 -Zunpretty=mir --crate-type=lib branch.rs	0
MI006	mir	stability	confirmed	0	Does the textual MIR view describe itself as an interface?	rustc +nightly-2026-09-13 -Zunpretty=mir --crate-type=lib branch.rs	intended for human consumers only	sh -c cargo metadata --format-version 1 --no-deps	101
MI007	mir	macros	confirmed	0	Can the compiler show a macro's expansion?	rustc +nightly-2026-09-13 -Zunpretty=expanded --crate-type=lib macro.rs	::std::io::_print	rustc +nightly-2026-09-13 -Zunpretty=normal --crate-type=lib macro.rs	0
MI008	mir	views	confirmed	0	Is a graphviz rendering of the control-flow graph available?	rustc +nightly-2026-09-13 -Zunpretty=mir-cfg --crate-type=lib branch.rs	digraph	rustc +nightly-2026-09-13 -Zunpretty=mir --crate-type=lib branch.rs	0
PL001	cargo-metadata	resolution	confirmed	0	Does --no-deps omit the resolved dependency graph?	sh -c cargo metadata --format-version 1 --no-deps | python3 -c "import json,sys;print('ABSENT' if json.load(sys.stdin)['resolve'] is None else 'PRESENT')"	ABSENT	sh -c cargo metadata --format-version 1 | python3 -c "import json,sys;print('ABSENT' if json.load(sys.stdin)['resolve'] is None else 'PRESENT')"	0
PL002	cargo-metadata	schema	recorded	0	What schema version does cargo metadata report?	sh -c cargo metadata --format-version 1 --no-deps | python3 -c "import json,sys;print(json.load(sys.stdin)['version'])"	1	-	-
PL003	cargo-metadata	features	confirmed	0	Does the metadata report a feature that is declared but not enabled?	sh -c cargo metadata --format-version 1 --no-deps | python3 -c "import json,sys;print('DECLARED' if 'extra' in json.load(sys.stdin)['packages'][0]['features'] else 'MISSING')"	DECLARED	sh -c cargo metadata --format-version 1 --no-deps | python3 -c "import json,sys;print('DECLARED' if 'not_a_feature' in json.load(sys.stdin)['packages'][0]['features'] else 'MISSING')"	0
RD001	rustdoc-json	what rustdoc JSON contains	recorded	0	Does rustdoc JSON contain function bodies?	rustdoc +nightly-2026-09-13 -Z unstable-options --output-format json --out-dir rd001 --crate-name bodies bodies.rs	exit 0	-	-
RD002	rustdoc-json	what rustdoc JSON contains	confirmed	0	Is a function's body present anywhere in its rustdoc JSON?	sh -c grep -c distinctive_body_token rd001/bodies.json || true	0	sh -c grep -c documented_fn rd001/bodies.json || true	0
RD003	rustdoc-json	visibility	confirmed	0	Does a type in a private module appear without --document-private-items?	sh -c rustdoc +nightly-2026-09-13 -Z unstable-options --output-format json --document-private-items --out-dir rd003 --crate-name bodies bodies.rs >/dev/null 2>&1; grep -c PrivateThing rd003/bodies.json || true	1	sh -c grep -c PrivateThing rd001/bodies.json || true	0
RD004	rustdoc-json	identity	confirmed	0	Is an item's Id stable when an unrelated item is added before it?	sh -c rustdoc +nightly-2026-09-13 -Z unstable-options --output-format json --out-dir rd004a --crate-name ids ids_a.rs >/dev/null 2>&1; rustdoc +nightly-2026-09-13 -Z unstable-options --output-format json --out-dir rd004b --crate-name ids ids_b.rs >/dev/null 2>&1; python3 -c "import json;f=lambda p:next(k for k,v in json.load(open(p))['index'].items() if v.get('name')=='Target');print('SHIFTED' if f('rd004a/ids.json')!=f('rd004b/ids.json') else 'STABLE')"	SHIFTED	sh -c rustdoc +nightly-2026-09-13 -Z unstable-options --output-format json --out-dir rd004c --crate-name ids ids_a.rs >/dev/null 2>&1; python3 -c "import json;f=lambda p:next(k for k,v in json.load(open(p))['index'].items() if v.get('name')=='Target');print('STABLE' if f('rd004a/ids.json')==f('rd004c/ids.json') else 'SHIFTED')"	0
RD005	rustdoc-json	feature gating	confirmed	0	Does rustdoc JSON record a cfg(feature) gate for an item it excluded?	sh -c rustdoc +nightly-2026-09-13 -Z unstable-options --output-format json --out-dir rd005 --crate-name cfgfeat cfgfeat.rs >/dev/null 2>&1; grep -c OnlyWithExtra rd005/cfgfeat.json || true	0	sh -c grep -c Always rd005/cfgfeat.json || true	0
RD006	rustdoc-json	version	recorded	0	Does the locally emitted format version match the pinned one?	sh -c python3 -c "import json;print(json.load(open('rd001/bodies.json'))['format_version'])"	61	-	-
SY001	syntax	error resilience	confirmed	0	Does the parser produce a tree for source that does not compile?	rust-analyzer parse	ERROR@	rust-analyzer parse	0
SY002	syntax	full fidelity	confirmed	0	Are comments retained in the tree?	rust-analyzer parse	COMMENT@	rust-analyzer parse	0
SY003	syntax	macros	confirmed	0	Is a macro invocation expanded in the concrete syntax tree?	rust-analyzer parse	MACRO_CALL@	rust-analyzer parse	0
SY004	syntax	error resilience	recorded	0	Does the parser signal failure through its exit code?	rust-analyzer parse	exit 0	-	-
XL001	cross-layer	layer selection	confirmed	0	Does the syntax layer know the type of an expression?	rust-analyzer parse	-	rust-analyzer parse	0
XL002	cross-layer	layer selection	confirmed	0	Does MIR retain the name of a local variable?	rustc +nightly-2026-09-13 -Zunpretty=mir --crate-type=lib owned.rs	debug s =	rustc +nightly-2026-09-13 -Zunpretty=mir --crate-type=lib owned.rs	0
