P020	rg	multiline-matching	confirmed	0	Under -U, does ^ still anchor to a line rather than to the whole haystack?	rg -U -c ^end block docs/multiline.txt	1	rg -U -c \Aend block docs/multiline.txt	1
P021	rg	multiline-matching	confirmed	0	Does --multiline-dotall let . cross newlines?	rg -U --multiline-dotall -c start block.*end block docs/multiline.txt	1	rg -U -c start block.*end block docs/multiline.txt	1
P022	rg	search-space	confirmed	1	Are .gitignore'd paths skipped by default?	rg -l generated .		rg -l --no-ignore-vcs generated .	0
P023	rg	search-space	confirmed	1	Is .ignore a separate layer from .gitignore?	rg -l --no-ignore-vcs 8080 .		rg -l --no-ignore-dot 8080 .	0
P024	rg	search-space	confirmed	1	Are hidden files skipped by default?	rg -l in a hidden file .		rg -l --hidden in a hidden file .	0
P025	rg	search-space	confirmed	0	Does naming an ignored file explicitly override the ignore rules?	rg -c generated target/generated.rs	1	rg -l generated .	1
P026	rg	search-space	confirmed	0	Does -t restrict the search to one language?	rg -l -tpy print .	./src/app.py ./nested/deep/deeper/buried.py	rg -l -trust print .	0
P027	rg	search-space	confirmed	0	Does a negated glob remove a subtree?	rg -l --no-ignore -g !node_modules/** console.log .	./vendor/bundled.js ./src/util.ts	rg -l --no-ignore console.log .	0
P028	rg	search-space	confirmed	1	Does --max-depth bound traversal?	rg -l --max-depth 2 buried .		rg -l buried .	0
P029	rg	reading-odd-inputs	confirmed	0	Is a binary file searched when named explicitly but skipped when found by traversal?	rg -c needle data/blob.bin	1	rg -l needle .	1
P030	rg	machine-output	recorded	0	What shape does --json emit?	rg --json helper src/main.rs	{"type":"begin","data":{"path":{"text":"src/main.rs"}}} {"type":"match","data":{"path":{"text":"src/main.rs"},"lines":{"text":"    helper(1);\n"},"line_number":3,"absolute_offset":35,"submatches":[{"m		
P031	rg	output-shaping-and-extraction	confirmed	0	Does -r rewrite the file or only the printed output?	rg -r REPLACED -N hello src/main.rs	println!("REPLACED");	rg -c hello src/main.rs	0
P032	rg	literal-and-regex-search	confirmed	0	Does -F disable metacharacters?	rg -F -c println!( src/main.rs	1	rg -c println!( src/main.rs	2
P033	rg	literal-and-regex-search	confirmed	1	Does -F still mean literal when combined with -P?	rg -P -F -c (?<=said ) docs/quotes.txt		rg -P -c (?<=she )\w+ docs/quotes.txt	0
P034	rg	machine-output	confirmed	1	What exit code distinguishes no-match from error?	rg -q definitely-not-present-anywhere .		rg -q anything no-such-path-exists	2
P035	rg	unicode-and-encodings	confirmed	0	Can an extended class appear in the same pattern as a lookaround?	rg -oP (?[\d-[1]]).(?<!x) docs/eclass.txt	0a 90	rg -oP (?[\d && ]).(?<!x) docs/eclass.txt	2
P036	rg	unicode-and-encodings	confirmed	0	Do the Unicode 17.0 scripts resolve, and does the engine still reject junk?	rg -oP \p{Sidetic} docs/unicode17.txt	𐥀	rg -P \p{Not_A_Real_Script_Xyz} docs/unicode17.txt	2
